,Job Title,Rating,Average_salary,State
282,data scientist,3.4,107.5,NY
283,data scientist,3.7,107.5,NY
284,data scientist,4.0,160.5,NY
285,analyst,2.9,160.5,NY
286,data scientist,2.1,160.5,NJ
287,data scientist,4.5,133.0,CA
288,data scientist,3.9,133.0,CA
289,data scientist,3.8,133.0,CA
290,data scientist,3.9,133.0,CA
291,analyst,4.0,133.0,CA
292,data engineer,3.7,133.0,CA
293,data scientist,3.9,133.0,CA
294,analyst,3.1,133.0,CA
295,data scientist,3.8,133.0,CA
296,data scientist,4.6,133.0,CA
297,data scientist,4.4,133.0,CA
298,data scientist,2.3,133.0,CA
299,data scientist,2.9,133.0,CA
300,data scientist,3.6,133.0,CA
301,data scientist,3.9,133.0,CA
302,data scientist,3.7,133.0,CA
303,analyst,4.7,133.0,CA
304,data scientist,4.2,133.0,CA
305,data scientist,4.7,133.0,CA
306,data scientist,3.9,133.0,CA
307,analyst,3.4,133.0,CA
308,analyst,3.4,133.0,CA
309,data scientist,4.2,133.0,CA
310,data scientist,3.2,133.0,CA
311,data scientist,4.5,133.0,CA
312,data scientist,3.8,133.0,CA
313,analyst,3.9,133.0,CA
314,data scientist,3.6,133.0,CA
315,data scientist,3.5,133.0,CA
316,data scientist,3.7,146.5,CA
317,data scientist,3.2,146.5,CA
318,data scientist,2.4,146.5,CA
319,data scientist,5.0,146.5,CA
320,data scientist,3.9,146.5,CA
321,data scientist,4.2,146.5,CA
322,data engineer,4.7,146.5,CA
323,analyst,3.7,146.5,CA
324,data scientist,4.0,146.5,CA
325,data scientist,3.9,146.5,CA
326,data scientist,2.8,146.5,CA
327,data scientist,3.7,146.5,CA
328,data scientist,3.3,146.5,CA
329,analyst,3.1,146.5,CA
330,data scientist,2.5,146.5,CA
331,data scientist,3.3,146.5,CA
332,data scientist,3.0,146.5,CA
333,data scientist,3.5,146.5,CA
334,machine learning engineer,3.0,146.5,CA
335,analyst,4.0,146.5,CA
336,analyst,5.0,146.5,CA
337,other,3.5,146.5,CA
338,analyst,3.9,146.5,CA
339,other,4.9,146.5,CA
340,data scientist,3.6,146.5,CA
341,machine learning engineer,3.6,146.5,CA
342,other,4.2,146.5,CA
343,data scientist,3.3,146.5,CA
344,data scientist,3.7,146.5,CA
345,other,3.6,146.5,CA
346,data scientist,4.5,146.5,CA
347,analyst,4.7,146.5,CA
348,data scientist,3.1,146.5,CA
349,machine learning engineer,4.6,146.5,CA
350,analyst,2.1,146.5,CA
351,data scientist,4.1,146.5,CA
352,analyst,5.0,146.5,CA
353,data scientist,4.1,146.5,CA
354,analyst,4.6,146.5,CA
355,analyst,3.9,146.5,CA
356,data engineer,4.5,146.5,CA
357,analyst,3.6,146.5,CA
358,data scientist,3.9,146.5,CA
359,data scientist,3.8,146.5,CA
360,other,3.9,146.5,CA
361,data scientist,3.6,146.5,CA
362,machine learning engineer,4.0,146.5,CA
363,analyst,3.9,146.5,CA
364,analyst,3.8,146.5,CA
365,analyst,4.8,146.5,CA
366,analyst,4.3,146.5,CA
367,analyst,5.0,146.5,CA
368,analyst,4.5,146.5,CA
369,data scientist,3.9,146.5,CA
370,data scientist,3.3,99.0,CA
371,analyst,3.8,99.0,CA
372,data scientist,4.9,99.0,CA
373,data engineer,3.9,99.0,CA
374,other,3.7,99.0,CA
375,data scientist,2.8,99.0,CA
376,data scientist,4.4,99.0,CA
377,data scientist,3.9,99.0,CA
378,machine learning engineer,4.7,99.0,CA
379,other,3.2,99.0,CA
380,analyst,4.5,99.0,CA
381,analyst,5.0,99.0,CA
382,analyst,3.9,99.0,CA
383,analyst,3.5,99.0,CA
384,data engineer,3.8,99.0,CA
385,data engineer,3.1,99.0,CA
386,data scientist,4.1,99.0,CA
387,data scientist,3.4,99.0,CA
388,data scientist,3.9,99.0,CA
389,data scientist,3.9,99.0,CA
390,other,3.1,99.0,CA
391,data scientist,2.3,99.0,CA
392,analyst,3.1,99.0,CA
393,data scientist,3.8,99.0,CA
394,other,4.2,99.0,CA
395,other,3.4,99.0,CA
396,data scientist,4.0,176.0,CA
397,analyst,3.4,176.0,CA
398,other,4.0,176.0,CA
399,manager,4.5,176.0,CA
400,manager,4.5,176.0,CA
401,other,3.9,176.0,CA
402,data scientist,3.6,176.0,CA
403,data engineer,4.0,176.0,CA
404,data scientist,5.0,176.0,CA
405,other,4.2,176.0,CA
406,data scientist,3.7,176.0,CA
407,analyst,3.8,176.0,CA
408,other,3.5,176.0,CA
409,other,3.6,176.0,CA
410,analyst,3.5,176.0,CA
411,analyst,3.8,176.0,CA
412,manager,3.1,176.0,CA
413,data scientist,3.2,176.0,CA
414,data scientist,3.6,176.0,CA
415,data engineer,3.8,176.0,CA
416,analyst,5.0,176.0,CA
417,data engineer,5.0,176.0,CA
418,data scientist,3.7,176.0,CA
419,data engineer,3.3,176.0,CA
420,other,3.3,176.0,CA
421,analyst,3.6,176.0,CA
422,data engineer,3.6,176.0,CA
423,other,3.8,176.0,CA
424,analyst,3.5,176.0,CA
425,data engineer,4.7,100.5,CA
426,analyst,4.6,100.5,CA
427,machine learning engineer,3.9,100.5,CA
428,other,4.1,100.5,CA
429,data scientist,4.2,100.5,CA
430,analyst,4.0,100.5,CA
431,analyst,3.7,100.5,CA
432,analyst,3.4,100.5,CA
433,analyst,3.6,100.5,CA
434,manager,4.5,100.5,CA
435,analyst,3.6,100.5,CA
436,other,3.8,100.5,CA
437,analyst,5.0,100.5,CA
438,analyst,4.3,100.5,CA
439,data scientist,1.6,100.5,CA
440,other,4.9,100.5,CA
441,analyst,4.0,100.5,CA
442,analyst,5.0,100.5,CA
443,data scientist,3.7,100.5,CA
444,other,3.7,100.5,CA
445,data engineer,5.0,100.5,CA
446,analyst,3.8,100.5,CA
447,data scientist,2.5,100.5,CA
448,analyst,4.0,100.5,CA
449,analyst,3.3,100.5,CA
450,data scientist,3.9,100.5,CA
451,data scientist,3.7,170.0,CA
452,data scientist,3.7,170.0,CA
453,analyst,3.8,170.0,CA
454,analyst,4.0,170.0,CA
455,data scientist,1.6,170.0,CA
456,machine learning engineer,3.8,170.0,CA
457,data scientist,3.6,170.0,CA
458,data scientist,3.7,170.0,CA
459,other,4.0,170.0,CA
460,analyst,3.5,170.0,CA
461,analyst,3.4,170.0,CA
462,data scientist,3.7,170.0,CA
463,other,4.4,170.0,CA
464,data engineer,4.4,170.0,CA
465,data engineer,3.6,170.0,CA
466,data scientist,4.9,170.0,CA
467,analyst,3.1,170.0,CA
468,analyst,5.0,170.0,CA
469,data scientist,3.9,170.0,CA
470,other,3.3,170.0,CA
471,analyst,3.4,170.0,CA
472,data engineer,3.7,170.0,CA
473,other,3.8,170.0,CA
474,analyst,3.9,170.0,CA
475,analyst,3.7,170.0,CA
476,other,3.4,170.0,CA
477,analyst,4.0,94.0,CA
478,data engineer,3.7,94.0,CA
479,other,3.9,94.0,CA
480,data scientist,3.7,94.0,CA
481,data engineer,4.0,94.0,CA
482,analyst,4.3,94.0,CA
483,machine learning engineer,3.2,94.0,CA
484,data engineer,3.9,94.0,CA
485,data scientist,3.7,94.0,CA
486,other,4.0,94.0,CA
487,analyst,3.6,94.0,CA
488,analyst,3.1,94.0,CA
489,analyst,4.7,94.0,CA
490,data engineer,4.0,94.0,CA
491,other,3.3,94.0,CA
492,data engineer,4.2,94.0,CA
493,data engineer,4.8,94.0,CA
494,machine learning engineer,4.2,94.0,CA
495,data scientist,5.0,94.0,CA
496,data scientist,3.2,94.0,CA
497,data scientist,3.3,94.0,CA
498,manager,2.5,94.0,CA
499,data engineer,2.0,94.0,CA
500,data engineer,4.1,94.0,CA
501,data engineer,5.0,109.0,CA
502,analyst,5.0,109.0,CA
503,other,3.6,109.0,CA
504,analyst,3.1,109.0,CA
505,data engineer,3.7,109.0,CA
506,data engineer,3.7,109.0,CA
507,analyst,4.0,109.0,CA
508,other,3.9,109.0,CA
509,other,4.0,109.0,CA
510,analyst,3.1,109.0,CA
511,analyst,3.7,109.0,CA
512,data scientist,3.6,109.0,CA
513,analyst,2.8,53.0,CA
514,data scientist,3.7,53.0,CA
515,other,3.9,53.0,CA
516,other,4.7,53.0,CA
517,other,3.4,53.0,CA
518,analyst,3.0,53.0,CA
519,data engineer,3.9,53.0,CA
520,data engineer,3.7,53.0,CA
521,other,2.6,53.0,CA
522,data engineer,3.9,53.0,CA
523,data engineer,2.4,53.0,CA
524,manager,4.0,53.0,CA
525,data engineer,2.7,53.0,CA
526,other,3.2,53.0,CA
527,other,3.5,53.0,CA
528,analyst,3.3,53.0,CA
529,other,4.3,53.0,CA
530,other,3.6,53.0,CA
531,analyst,3.2,56.0,CA
532,machine learning engineer,5.0,56.0,CA
533,analyst,4.9,56.0,CA
534,other,3.7,56.0,CA
535,analyst,3.5,56.0,CA
536,other,3.7,56.0,CA
537,analyst,3.8,56.0,CA
538,other,3.7,56.0,CA
539,other,2.6,56.0,CA
540,manager,2.8,56.0,CA
541,data engineer,4.3,56.0,CA
542,analyst,4.1,56.0,CA
543,data scientist,3.6,56.0,CA
544,analyst,3.2,56.0,CA
545,other,3.4,56.0,CA
546,data engineer,3.7,56.0,CA
547,other,4.2,56.0,CA
548,analyst,4.7,56.0,CA
549,analyst,2.8,148.5,CA
550,data scientist,3.6,148.5,CA
551,other,3.1,148.5,CA
552,analyst,4.1,148.5,CA
553,manager,3.8,148.5,CA
554,machine learning engineer,3.7,148.5,CA
555,data scientist,3.2,148.5,CA
556,analyst,3.5,148.5,CA
557,other,3.2,148.5,CA
558,other,3.9,148.5,CA
559,analyst,3.8,148.5,CA
560,other,4.6,148.5,CA
561,analyst,2.9,148.5,CA
562,other,3.8,148.5,CA
563,other,2.8,148.5,CA
564,data engineer,5.0,148.5,CA
565,analyst,4.5,148.5,CA
566,other,4.1,148.5,CA
567,data engineer,3.9,148.5,CA
568,analyst,3.4,148.5,CA
569,data engineer,3.7,148.5,CA
570,other,3.7,148.5,CA
571,other,3.7,148.5,CA
572,data scientist,3.3,148.5,CA
573,other,3.9,148.5,CA
574,analyst,4.7,148.5,CA
575,data engineer,3.4,148.5,CA
576,analyst,3.2,148.5,CA
577,analyst,4.3,150.0,CA
578,analyst,3.6,150.0,CA
579,manager,2.4,150.0,CA
580,analyst,4.2,150.0,CA
581,data scientist,4.4,150.0,CA
582,data engineer,2.9,150.0,CA
583,manager,3.5,150.0,CA
584,manager,3.6,150.0,CA
585,machine learning engineer,3.7,150.0,CA
586,data engineer,5.0,150.0,CA
587,analyst,2.4,150.0,CA
588,analyst,4.6,150.0,CA
589,machine learning engineer,4.4,150.0,CA
590,other,3.9,150.0,CA
591,analyst,5.0,150.0,CA
592,data engineer,4.7,150.0,CA
593,other,2.7,150.0,CA
594,analyst,3.0,150.0,CA
595,data engineer,2.1,150.0,CA
596,other,3.9,150.0,CA
597,data engineer,3.3,150.0,CA
598,data scientist,3.8,63.0,IL
599,data scientist,4.1,63.0,IL
600,data engineer,3.7,63.0,IL
601,analyst,3.8,63.0,IL
602,analyst,3.9,63.0,IL
603,data engineer,3.9,63.0,IL
604,data engineer,3.3,63.0,IL
605,data scientist,4.3,63.0,IL
606,data engineer,3.9,63.0,IL
607,analyst,3.7,63.0,IL
608,analyst,3.5,63.0,IL
609,analyst,4.1,63.0,IL
610,data engineer,4.5,63.0,IL
611,researcher,3.8,63.0,IL
612,data scientist,2.2,63.0,IL
613,analyst,3.7,63.0,IL
614,data scientist,3.4,63.0,IL
615,data scientist,3.4,63.0,IL
616,data scientist,4.2,63.0,IL
617,data scientist,5.0,63.0,IL
618,researcher,4.1,63.0,IL
619,analyst,3.0,63.0,IL
620,data scientist,3.2,63.0,IL
621,data scientist,3.6,63.0,IL
622,data scientist,3.3,63.0,IL
623,data scientist,4.9,63.0,IL
624,analyst,3.2,63.0,IL
625,data scientist,3.4,63.0,IL
